#,Tênis Verde,IMDB,Título,1a. Vez,Última Vez,Vezes,Nota
40,um-lugar-chamado-notting-hill,tt0125439,Um Lugar Chamado Notting Hill,2010-08-27,2010-08-27,1,4
39,par-perfeito,tt1103153,Par Perfeito,2010-08-27,2010-08-27,1,3
38,karate-kid-2010,tt1155076,Karate Kid,2010-08-27,2010-08-27,1,3
37,o-ultimo-mestre-do-ar,tt0938283,O Último Mestre do Ar,2010-08-20,2010-08-20,1,1
36,domicilio-conjugal,tt0065651,Domicilio Conjugal,2010-08-17,2010-08-17,1,4
35,os-mercenarios,tt1320253,Os Mercenários,2010-08-13,2010-08-13,1,2
34,o-aprendiz-de-feiticeiro,tt0963966,O Aprendiz de Feiticeiro,2010-08-13,2010-08-13,1,3
33,superman-o-filme,tt0078346,Superman O Filme,2010-08-12,2013-11-20,2,5
32,marcas-do-passado,tt0432289,Marcas do Passado,2010-08-10,2010-08-10,1,2
31,a-lenda-dos-guardioes,tt1219342,A Lenda dos Guardiões,2010-08-08,2010-08-08,1,2
30,a-origem,tt1375666,A Origem,2010-08-06,2010-08-06,1,5
29,400-contra-1-a-historia-do-comando-vermelho,tt1781755,400 contra 1 A História do Comando Vermelho,2010-08-06,2010-08-06,1,1
28,salt,tt0944835,Salt,2010-07-30,2010-07-30,1,3
27,o-bem-amado,tt1410297,O Bem Amado,2010-07-24,2010-07-24,1,4
26,spartacus,tt0054331,Spartacus,2010-07-20,2010-07-20,1,5
25,a-prova-de-morte,tt1028528,À Prova de Morte,2010-07-16,2010-07-16,1,4
24,primer,tt0390384,Primer,2010-07-09,2010-07-09,1,4
23,o-ultimo-dragao,tt0089461,O Último Dragão,2010-07-07,2010-07-07,1,2
22,15-anos-e-meio,tt1075111,15 Anos e Meio,2010-07-07,2010-07-07,1,3
21,ponyo-uma-amizade-que-veio-do-mar,tt0876563,Ponyo Uma Amizade que Veio do Mar,2010-06-30,2013-09-02,2,4
20,toy-story-2,tt0120363,Toy Story 2,2010-06-25,2010-06-25,1,4
19,flor-do-deserto,tt1054580,Flor do Deserto,2010-06-25,2010-06-25,1,4
18,predadores,tt1424381,Predadores,2010-06-23,2010-06-23,1,3
17,toy-story-3,tt0435761,Toy Story 3,2010-06-18,2010-06-18,1,5
16,kick-ass,tt1250777,Kick-Ass Quebrando Tudo,2010-06-18,2010-06-18,1,4
15,principe-da-persia-areias-do-tempo,tt0473075,Príncipe da Pérsia As Areias do Tempo,2010-06-14,2010-06-14,1,3
14,plano-b,tt1212436,Plano B,2010-06-11,2010-06-11,1,2
13,almas-a-venda,tt1127877,Almas à venda,2010-06-09,2010-06-09,1,2
12,o-golpista-do-ano,tt1045772,O Golpista do Ano,2010-06-04,2010-06-04,1,4
11,o-pequeno-nicolau,tt1264904,O Pequeno Nicolau,2010-06-02,2013-12-29,2,3
10,o-escritor-fantasma,tt1139328,O Escritor Fantasma,2010-05-28,2010-05-28,1,5
9,quincas-berro-dagua,tt1068962,Quincas Berro d'Água,2010-05-21,2010-05-21,1,3
8,furia-de-titas,tt0800320,Fúria de Titãs,2010-05-21,2010-05-21,1,3
7,2-dias-em-paris,tt0841044,2 Dias em Paris,2010-05-16,2010-05-16,1,2
6,mademoiselle-chambom,tt1285246,Mademoiselle Chambon,2010-05-14,2010-05-14,1,4
5,tudo-pode-dar-certo,tt1178663,Tudo Pode Dar Certo,2010-04-30,2010-04-30,1,4
4,alice-no-pais-das-maravilhas-2010,tt1014759,Alice no País das Maravilhas,2010-04-23,2010-04-23,1,3
3,mary-e-max,tt0978762,Mary e Max uma Amizade Diferente,2010-04-16,2010-04-16,2,5
2,big-stan-arrebentando-na-prisao,tt0490086,Big Stan Arrebentando na Prisão,2010-04-04,2010-04-04,1,3
1,homem-de-ferro-2,tt1228705,Homem de Ferro 2,2010-04-03,2010-04-03,1,3
