#,Tênis Verde,IMDB,Título,1a. Vez,Última Vez,Vezes,Nota
246,a-casa-dos-sonhos,tt1462041,A Casa dos Sonhos,2011-11-16,2011-11-16,1,3
245,alice-no-pais-das-maravilhas-1951,tt0043274,Alice no País das Maravilhas,2011-11-13,2013-07-10,2,5
244,o-retorno-de-johnny-english,tt1634122,O Retorno de Johnny English,2011-11-13,2011-11-13,1,3
243,planeta-51,tt0762125,Planeta 51,2011-11-06,2011-11-06,1,3
242,o-palhaco,tt1921043,O Palhaço,2011-11-06,2011-11-06,1,5
241,shocking-blue,tt1307010,Shocking Blue,2011-11-03,2011-11-03,1,3
240,pedaco-de-papel,tt1522238,Pedaço de Papel,2011-11-03,2011-11-03,1,3
239,o-ritual,tt1161864,O Ritual,2011-11-02,2011-11-02,1,2
238,o-discurso-do-rei,tt1504320,O Discurso do Rei,2011-11-02,2011-11-02,1,3
237,bravura-indomita,tt1403865,Bravura Indômita,2011-11-02,2011-11-02,1,5
236,maria-my-love,tt1645109,Maria My Love,2011-11-01,2011-11-01,1,3
235,fora-do-figurino,tt0000000,Fora do Figurino,2011-11-01,2011-11-01,1,3
234,demonio,tt1314655,Demônio,2011-10-30,2011-10-30,1,3
233,jovens-modernos,tt1954379,Kids of Töday,2011-10-29,2011-10-29,1,3
232,hanami-cerejeiras-em-flor,tt0910559,Hanami Cerejeiras em Flor,2011-10-29,2014-05-25,2,5
231,lacos-humanos,tt0038190,Laços Humanos,2011-10-27,2011-10-27,1,5
230,la-bas-educacao-criminal,tt2087864,Là-bas A Criminal Education,2011-10-25,2011-10-25,1,3
229,as-flores-de-kirkuk,tt1781820,As Flores de Kirkuk,2011-10-25,2011-10-25,1,3
228,o-desaparecimento-do-gato,tt1841584,El gato desaparece,2011-10-24,2011-10-24,1,4
227,nervos-a-flor-da-pele,tt1634524,Jitters,2011-10-24,2011-10-24,1,3
226,aleksander-sokurov-questao-de-cinema,tt0000000,Aleksander Sokurov Uma Questão de Cinema,2011-10-24,2011-10-24,1,3
225,a-morte-de-pinochet,tt1817190,La muerte de Pinochet,2011-10-24,2011-10-24,1,3
224,roubando-vidas,tt0364045,Roubando Vidas,2011-10-23,2011-10-23,1,2
223,o-manuscrito-perdido,tt2166420,O Manuscrito Perdido,2011-10-23,2011-10-23,1,3
222,despedida-em-las-vegas,tt0113627,Despedida em Las Vegas,2011-10-22,2011-10-22,1,5
221,trabalhar-cansa,tt1686328,Trabalhar Cansa,2011-10-18,2011-10-18,1,5
220,qual-seu-numero,tt0770703,Qual Seu Número?,2011-10-17,2011-10-17,1,3
219,familia-vende-tudo,tt2006109,Família Vende Tudo,2011-10-16,2011-10-16,1,2
218,os-goonies,tt0089218,Os Goonies,2011-10-13,2011-10-13,1,5
